FREQ;GEO;UNIT;LMP_TYPE;EXPTYPE\TIME_PERIOD,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;IE;MIO_EUR;8;XTOT,: ,1092.152 ,935.481 ,757.984 ,753.701 ,995.896 ,1142.565 ,1237.096 ,1239.628 ,1394.590 e,1609.051 ,2291.506 ,4087.891 ,4588.286 ,4232.566 ,4115.557 ,3817.581 ,3432.864 ,3172.875 ,2846.521 ,2473.258 ,2203.822 
A;IE;MIO_EUR;9;XTOT,: ,76.556 ,76.506 ,79.252 ,82.774 ,87.028 ,89.077 ,94.726 ,102.879 ,113.036 ,124.490 ,117.666 ,96.606 ,77.850 ,59.942 ,46.091 ,34.555 ,24.334 ,16.268 ,8.607 ,3.608 ,0.510 
A;IE;MIO_EUR;TOT8_9;XTOT,: ,1168.709 ,1011.986 ,837.236 ,836.475 ,1082.924 ,1231.642 ,1331.822 ,1342.507 ,1507.626 e,1733.540 ,2409.172 ,4184.497 ,4666.136 ,4292.508 ,4161.648 ,3852.136 ,3457.198 ,3189.143 ,2855.128 ,2476.866 ,2204.332 
A;IT;MIO_EUR;8;XTOT,: ,6167.538 ,6046.338 ,6473.447 ,6479.795 ,6847.150 ,7222.418 ,8475.445 ,9744.213 ,9780.749 ,9362.187 ,11259.454 ,19441.120 ,20981.455 ,20203.541 ,24016.944 ,24284.245 ,24704.525 ,21099.255 ,22212.245 ,20958.169 ,20080.043 
A;IT;MIO_EUR;9;XTOT,: ,: z,: z,1092.986 ,826.631 ,615.880 ,476.201 ,359.122 ,294.438 ,207.361 ,144.371 ,104.653 ,111.929 ,106.114 ,128.328 ,145.646 ,157.458 ,167.348 ,161.793 ,151.696 ,136.607 ,120.644 
A;IT;MIO_EUR;TOT8_9;XTOT,: ,6167.538 ,6046.338 ,7566.433 ,7306.427 ,7463.031 ,7698.619 ,8834.568 ,10038.651 ,9988.110 ,9506.557 ,11364.107 ,19553.049 ,21087.569 ,20331.868 ,24162.589 ,24441.702 ,24871.873 ,21261.048 ,22363.941 ,21094.776 ,20200.688 
A;LT;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,18.870 ,13.439 ,21.744 ,28.479 ,32.434 ,49.624 ,162.751 ,132.457 ,90.887 ,78.141 ,76.517 ,69.434 ,84.011 ,84.915 ,103.333 ,175.937 
A;LT;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,6.938 ,6.474 ,3.722 ,1.271 ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;LT;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,25.808 ,19.913 ,25.466 ,29.750 ,32.434 ,49.624 ,162.751 ,132.457 ,90.887 ,78.141 ,76.517 ,69.434 ,84.011 ,84.915 ,103.333 ,175.937 
A;LU;MIO_EUR;8;XTOT,: ,51.852 ,46.680 ,42.913 ,49.907 ,70.807 ,103.077 ,120.895 ,139.796 ,141.775 ,136.093 ,145.720 ,267.564 ,252.068 ,225.571 ,279.608 ,325.021 ,298.468 ,275.028 ,256.740 ,259.720 ,258.744 
A;LU;MIO_EUR;9;XTOT,: ,55.199 e,52.905 ,52.138 ,55.213 ,49.498 ,50.500 ,55.499 ,58.000 ,58.926 ,59.000 ,60.879 ,63.572 ,64.644 ,63.342 ,65.994 ,68.994 ,70.994 ,80.909 ,76.498 ,73.050 ,72.999 
A;LU;MIO_EUR;TOT8_9;XTOT,: ,107.051 e,99.585 ,95.051 ,105.120 ,120.305 ,153.577 ,176.394 ,197.796 ,200.700 ,195.093 ,206.599 ,331.135 ,316.711 ,288.913 ,345.602 ,394.015 ,369.462 ,355.938 ,333.237 ,332.769 ,331.743 
