Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,2.002830029,1.879400015,,,,,,2.418839931,,,,,,,4.203420162,5.2333498,6.87237978,,,,,,,,,1.997640014,,,2.195369959,1.547340035,1.150930047,,,,,,,,,4.342420101,4.507430077,4.7,4.64,5.0,5.3,5.0,,,,,
"Egypt, Arab Rep.",EGY,,4.529920101,4.537899971,,5.226669788,4.892429829,4.943429947,4.549580097,4.941120148,,4.280320168,,5.608300209,5.221489906,,,,,4.525219917,4.600059986,,,4.050670147,4.197700024,4.583759785,4.604000092,4.671569824,,,,,,,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,,,,,,,,,,,,
Euro area,EMU,,3.728280067,,,4.242040157,4.730890036,4.358029842,,4.345119953,4.796909809,,5.100584984,5.084379911,4.853975058,4.821054935,,4.852290154,4.623439789,4.568745136,,4.554499865,4.776949883,5.072380066,5.10943985,4.896480083,4.689115047,4.796005011,,4.540569782,4.510849953,4.585120201,5.224609852,5.258719921,5.074510098,4.961864948,4.97356987,4.820549965,4.684490204,5.109519958,5.563149929,5.473380089,5.1,4.96,5.3,5.3,4.9,4.8,4.9,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,1.638550043,,4.620580196,5.26281023,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,
Spain,ESP,1.833009958,1.889279962,2.064650059,,1.459560037,,1.899389982,2.077169895,2.230730057,2.338049889,,,,,,,,3.128180027,3.328299999,3.551779985,3.633589983,3.742350101,3.83716011,4.244890213,4.484680176,4.434629917,4.457459927,,4.287859917,4.260439873,4.166049957,4.111269951,4.134570122,4.173429966,4.157859802,4.144320011,4.184820175,4.254049778,4.528059959,4.912000179,4.856080055,4.9,4.47,4.4,4.3,4.3,4.2,4.2,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,5.706910133,5.502669811,5.905409813,6.062329769,6.346139908,6.244349957,6.646560192,5.332429886,5.224609852,5.431310177,5.271170139,4.877349854,4.813159943,,4.620639801,5.477379799,5.926519871,5.473380089,5.0,4.68,4.8,5.4,5.1,5.2,5.0,,,
Ethiopia,ETH,,,,,,,,,,,,,2.112349987,2.302059889,2.112030029,2.337569952,2.137949944,,,,,,,2.3542099,,,2.774620056,2.757940054,,,3.983109951,3.700289965,3.632450104,,,,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.5,5.57,4.5,4.6,4.7,,,,,
European Union,EUU,,,,,,,,,,,,,,,,,,,,,,4.972259998,5.145120144,5.10943985,4.900255203,4.689115047,4.748290062,,4.540569782,4.583669901,4.868400097,5.077809811,5.179230213,5.074510098,4.961864948,5.073949814,4.864109993,4.684490204,5.029049873,5.554969788,5.312739849,5.0,4.88,5.0,5.1,4.9,4.8,4.7,,,
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.744709969,,,3.3,,,,3.8,,,
Finland,FIN,5.413489819,5.33137989,5.008190155,5.093379974,4.482309818,5.033239841,5.228330135,,,4.796909809,4.825749874,4.833360195,4.779290199,4.855609894,4.698919773,5.04542017,5.100399971,5.200819969,5.066959858,5.072609901,5.338900089,6.337480068,6.520500183,7.487160206,6.857069969,6.809909821,6.858980179,,,5.86992979,5.709300041,5.840250015,6.0167799,6.167439938,6.157579899,6.02507019,5.928380013,5.67125988,5.83010006,6.459559917,6.504449844,6.4,7.15,7.1,7.1,7.0,6.9,6.4,,,
Fiji,FJI,,,,,,,,,,5.197609901,,5.820109844,,6.486690044,,,,,,4.831099987,,,,,,,,,5.512619972,5.153510094,5.857250214,5.617139816,6.24382019,,6.164929867,5.121970177,5.607140064,5.848430157,4.25357008,4.498479843,,4.2,,3.9,,,,,,,
France,FRA,3.429739952,3.174210072,3.359179974,3.23003006,4.242040157,4.42854023,4.424709797,4.435210228,4.345119953,4.281159878,4.307690144,4.730720043,4.8520298,4.852340221,4.867539883,4.851570129,4.707950115,4.623439789,4.544720173,4.456399918,4.513939857,4.841300011,4.735390186,5.429590225,5.626430035,5.79073,5.756720066,,5.687920094,,,,,,,,,,,,,,,,,,,5.5,,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.424910069,6.706870079,,,,,,,,,,,,,,,12.4,,,,,
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,2.805520058,,,,,,3.419660091,3.081229925,3.827090025,,,,,,,,,,3.078089952,3.0,3.01,3.0,2.7,,,,,,
United Kingdom,GBR,,5.032050133,5.159379959,5.448609829,5.390999794,6.268780231,6.424220085,6.063350201,,,5.070119858,5.2884202,5.188700199,5.061500072,4.899059772,4.594089985,4.380839825,4.371809959,4.26831007,4.125110149,4.055520058,4.122479916,4.334489822,,4.850830078,4.839260101,4.386929989,,4.21201992,3.996959925,4.031189919,4.119229794,4.638869762,4.804669857,4.738790035,4.939139843,4.985310078,4.914820194,4.89331007,5.074319839,5.703239918,5.6,,5.5,5.6,5.6,5.4,5.4,,,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,6.915659904,,,,2.108880043,2.15512991,2.181050062,2.137500048,2.235019922,2.065599918,2.914200068,2.484319925,3.00364995,2.696870089,2.919549942,3.222379923,,2.6,1.91,,,,3.6,3.6,3.52,,
Ghana,GHA,,4.224440098,4.621399879,,3.802710056,4.876540184,5.828829765,6.09528017,,2.311350107,2.707770109,1.808120012,1.904539943,,,,3.354480028,3.306699991,3.187419891,,,,,,,,,,,4.110370159,,5.354440212,,,7.535580158,7.42208004,5.259829998,5.519869804,5.757959843,5.317440033,5.540599823,8.1,7.92,4.6,4.5,4.5,4.5,3.6,3.99,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
